id,Title,Authors,id_original,Title_original,Raphael - Classification ,Raphael - Justification ,Guilherme - Classication,Guilherme - Justification,Final Classification
207,On the dangers of stochastic parrots: Can language models be too big?,Bender E.M.; Gebru T.; McMillan-Major A.; Shmitchell S.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
208,"The GEM Benchmark: Natural Language Generation, its Evaluation and Metrics",Gehrmann S.; Adewumi T.; Aggarwal K.; Ammanamanchi P.S.; Anuoluwapo A.; Bosselut A.; Chandu K.R.; Clinciu M.; Das D.; Dhole K.D.; Du W.; Durmus E.; Dušek O.; Emezue C.; Gangal V.; Garbacea C.; Hashimoto T.; Hou Y.; Jernite Y.; Jhamtani H.; Ji Y.; Jolly S.; Kale M.; Kumar D.; Ladhak F.; Madaan A.; Maddela M.; Mahajan K.; Mahamood S.; Majumder B.P.; Martins P.H.; McMillan-Major A.; Mille S.; van Miltenburg E.; Nadeem M.; Narayan S.; Nikolaev V.; Niyongabo R.A.; Osei S.; Parikh A.; Perez-Beltrachini L.; Rao N.R.; Raunak V.; Rodriguez J.D.; Santhanam S.; Sedoc J.; Sellam T.; Shaikh S.; Shimorina A.; Cabezudo M.A.S.; Strobelt H.; Subramani N.; Xu W.; Yang D.; Yerukola A.; Zhou J.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
209,Towards empathetic open-domain conversation models: A new benchmark and dataset,Rashkin H.; Smith E.M.; Li M.; Boureau Y.-L.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
210,Multiscale Temporal Dynamic Learning for Time Series Classification,Liu S.; Zhou X.; Chen H.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
211,DIALOGPT: Large-scale generative pre-training for conversational response generation,Zhang Y.; Sun S.; Galley M.; Chen Y.-C.; Brockett C.; Gao X.; Gao J.; Liu J.; Dolan B.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
212,Build it break it fix it for dialogue safety: Robustness from adversarial human attack,Dinan E.; Humeau S.; Weston J.; Chintagunta B.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
213,Bot-Adversarial Dialogue for Safe Conversational Agents,Xu J.; Ju D.; Li M.; Boureau Y.-L.; Weston J.; Dinan E.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
214,StereoSet: Measuring stereotypical bias in pretrained language models,Nadeem M.; Bethke A.; Reddy S.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
215,Universal adversarial triggers for attacking and analyzing NLP warning: This paper contains model outputs which are offensive in nature,Wallace E.; Feng S.; Kandpal N.; Gardner M.; Singh S.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
216,Understanding Multi-Turn Toxic Behaviors in Open-Domain Chatbots,Chen B.; Wang G.; Guo H.; Wang Y.; Yan Q.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
217,Generative adversarial nets,Goodfellow I.J.; Pouget-Abadie J.; Mirza M.; Xu B.; Warde-Farley D.; Ozair S.; Courville A.; Bengio Y.,9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,exclude,EC1,,,
