id,Title,Authors,id_original,Title_original,OBS,Validação Raphael,Justificativa Raphael,Obs Raphael,Validação Guilherme,Justificativa Guilherme,Obs Guilherme,Secundário,Decisão Final,Repetido
1298,LLM-YOLOMS: Large Language Model-based Semantic Interpretation and Fault Diagnosis for Wind Turbine Components,"Li Yaru, Wang Yan-xue, Li Meng, Li Xinming, Feng Jianbo",9,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,,,,,,,,,,
1299,"Human-Centric Cybersecurity Methods in Financial Services: Employ Behavioral Analytics in the Face of Credential Theft, Phishing, and Social Engineering","Abhilash Narayanan, S. Srinivasan",10,Adding extra security layer to chatGPT: machine learning based model to detect malicious cybersecurity prompts,,,,,,,,,,
1300,The Power of Trust in Recommender Systems: Improving Outcomes and Reducing Noise,"Dhiraj Khurana, Dhiraj Khurana, Nakul, Suman Rani",19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,,,,,,,,,,
1301,LLM-enabled Applications Require System-Level Threat Monitoring,"Yedi Zhang, Haoyu Wang, Xianglin Yang, Jin Song Dong, Jun Sun",19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,,,,,,,,,,"1467,2835,3471"
1302,CrowdLLM: Building LLM-Based Digital Populations Augmented with Generative Models,"Lin, Ryan Feng, Tian, Keyu, Zheng, Hanming, Zhang, Congjing, Zeng, Li, Huang, Shuai",19,Privacy Risks of LLM-Empowered Recommender Systems: An Inversion Attack Perspective,,,,,,,,,,
1303,"Robustness in Text-Attributed Graph Learning: Insights, Trade-offs, and New Defenses","Runlin Lei, Lu Yi, Mingguo He, Pengyu Qiu, Zhewei Wei, Yongchao Liu, Chuntao Hong",20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,,,,,,
1304,Graph-MLLM: Harnessing Multimodal Large Language Models for Multimodal Graph Learning,"Jiajin Liu, Dongzhe Fan, Jiacheng Shen, Chuanhao Ji, D. Zha, Qiaoyu Tan",20,"TrustGLM: Evaluating the Robustness of GraphLLMs Against Prompt, Text, and Structure Attacks",,,,,,,,,,
1305,-,-,22,Approaches to Lightweight Text-to-SQL Implementation Based on sLLM,,,,,,,,,,
1306,TabAttackBench: A benchmark for adversarial attacks on tabular data,"Zhipeng He, Chun Ouyang, Lijie Wen, Cong Liu, Catarina Moreira, Cong Liu, Catarina Moreira",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,"1316,1336"
1307,"Adversarial Attacks and Defense Mechanisms in Machine Learning: A Structured Review of Methods, Domains, and Open Challenges","Aidos Askhatuly, Dinara Berdysheva, Azamat Berdyshev, Aigul Adamova, Didar Yedilkhan",24,"Adversarial machine learning: a review of methods, tools, and critical industry sectors",,,,,,,,,,
